Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year
Brandon Provost,UTRGV,31,34,15,4.4,9.9,0.44,2.6,5.9,0.443,3.6,4.5,0.801,0.5,3.7,4.2,2.2,1,0.3,2,1.4,2013
Brandon Rachal,TU,23,31.5,15,5.3,12,0.442,1.4,4.4,0.314,3,4.1,0.726,1.7,5.5,7.2,2.2,1.6,0.8,2.5,2.9,2021
Brandon Riley,SCSU,28,32.7,17.1,6.3,15.6,0.403,1.8,5.6,0.325,2.7,3.5,0.768,0.9,2.8,3.8,1.7,1,0.1,3.3,2.1,2012
Brandon Rush,FDU,25,27.6,14.2,5,12.6,0.394,1.6,5.4,0.296,2.6,3.2,0.835,0.6,2.4,3,1.8,0.8,0.1,2.1,1.2,2022
Brandon Tabb,BCU,30,31.3,18.9,5.7,14.4,0.397,3.2,9.6,0.337,4.2,4.6,0.913,0.8,2.9,3.6,1.6,1.5,0.4,2.3,2.8,2018
Brandon Taylor,PSU,32,32.3,16.3,5.9,13.6,0.433,1.6,4.4,0.359,2.9,4,0.727,1.6,4.9,6.5,1.6,0.6,0.5,2.5,2.9,2016
Brandon Triche,SU,40,33.7,13.6,4.6,11.1,0.416,1.2,4.3,0.288,3.1,4.2,0.744,1.4,2,3.4,3.6,1.3,0.1,2.7,2.2,2013
Brandon Young,DEP,32,34.8,16.3,5.6,12.8,0.433,0.9,3.6,0.254,4.3,6.3,0.677,0.6,3.6,4.2,3.5,1.8,0.3,3.1,1.9,2014
Braun Hartfield,USD,32,34.4,13.9,4.9,11.5,0.425,1.6,4.8,0.329,2.5,3.8,0.659,1.5,3.8,5.3,2.2,1.1,0.6,3,2.1,2020
Braxton Huggins,CSUF,31,29.8,18.5,6.1,14.4,0.425,3.3,8.5,0.385,3,3.7,0.793,0.6,3.6,4.3,1.7,1.1,0.3,2.2,2.2,2019
Braxton Ogbueze,CHAR,33,34.3,14.5,4.8,11.6,0.418,3.3,7.7,0.427,1.5,2,0.758,0.5,1.8,2.3,2.6,0.5,0.1,1.2,1.5,2016
Brayden Carlson,SDSU,32,36.8,14.9,4.5,9.9,0.453,1.6,4.5,0.361,4.3,5.4,0.782,0.3,3.1,3.5,2.9,1.5,0.1,2.5,2.2,2014
Braylon Rayson,CMU,32,37.3,21.2,6.5,17.2,0.381,2.9,8.1,0.36,5.3,6.2,0.848,0.8,3.6,4.4,3.2,1.2,0,2.7,2.2,2017
Brayon Blake,U of I,31,29,17,6.5,13,0.5,1.7,3.7,0.448,2.3,3.4,0.66,2.1,7.5,9.6,1.2,0.7,0.5,1.9,3,2018
Breein Tyree,UM,31,34.5,19.7,6.4,15.1,0.426,2.1,5.7,0.36,4.8,5.8,0.822,0.3,3.4,3.7,2.5,1.3,0.1,2.5,2.1,2020
Brendan Barry,DART,25,35.7,14.6,4.7,11.9,0.396,3.4,8.3,0.411,1.8,2,0.863,0.2,2.7,2.9,1.9,1.6,0.3,1.2,1.2,2022
Brendan Westendorf,SEA,30,32.4,14.3,4.9,12.1,0.403,2,6.3,0.324,2.5,3,0.833,0.7,3.5,4.2,3.7,1.8,0.1,2.8,2,2017
Brent Jones,SFC,35,33.9,14.1,4.5,11.3,0.396,1.4,4.3,0.329,3.7,4.8,0.772,0.8,2.6,3.4,5.3,1.9,0.1,3.4,1.9,2015
Brenton Mills,BU,16,32.1,13.9,5.1,12.6,0.408,2.1,5.1,0.402,1.6,2.1,0.735,0.6,2.4,3.1,1.9,0.6,0.1,2.2,1.6,2021
Brenton Scott,ISU,31,32.8,14.5,5,12.6,0.4,2,5.9,0.337,2.4,3.4,0.714,0.5,5.3,5.7,2.4,1.7,0.2,2.5,2.5,2018
Brenton Williams,USC,34,30.3,14.9,4.3,10.1,0.423,2.7,6.4,0.427,3.5,3.8,0.93,0.4,1.4,1.9,1.4,1.1,0,1.2,1.3,2014
Brett Bailey,USD,31,33.9,15.6,5,11.5,0.434,1.1,3.1,0.347,4.5,6,0.757,1.9,5.1,6.9,1.7,0.7,0.4,2.3,2.7,2017
Brett Bisping,SC,34,33.2,15.9,5.3,11.4,0.463,1.2,3.4,0.351,4.1,5.2,0.795,2.3,8.1,10.4,1.5,0.7,0.4,2.4,3.1,2016
Brett Comer,FGC,35,31,13.7,5.1,11.1,0.455,1.1,3.1,0.355,2.5,3.9,0.635,0.7,2.3,2.9,5.3,1.2,0.2,3.1,2.4,2014
Brett Olson,UD,30,35.4,13.9,4.6,9.6,0.483,2.2,5.3,0.419,2.4,2.9,0.839,0.4,3,3.4,3,0.8,0.1,1.7,2.8,2015
Brian Barbour,COM,30,35.6,15.5,4.7,11.9,0.394,1.2,3.7,0.333,4.9,5.4,0.901,0.5,2.2,2.8,4.4,1,0.1,2.3,1.5,2012
"Brian Beard, Jr.",FIU,34,32,17.3,5.4,13.8,0.394,1.6,5.5,0.289,4.8,6.8,0.713,0.6,2.7,3.3,5.9,2.9,0.1,3.5,2.1,2019
Brian Conklin,SLU,34,29.4,13.9,4.6,8.9,0.521,0,0.1,0.5,4.6,5.7,0.8,2,2.6,4.6,1.2,0.7,0.3,2.1,2.6,2012
Brian Fobbs,TU,32,32.2,16.3,5.6,12.9,0.432,1.7,4.9,0.342,3.4,4.1,0.833,1,3.9,4.9,1.7,0.8,0.1,2,2,2020
Brian Parker,MAR,31,28.5,14.9,5.5,11.4,0.489,0.4,1.3,0.325,3.4,5.6,0.603,0.6,3.3,3.8,3.5,0.6,0.1,3.2,1.9,2019
Brian Stafford,UD,31,33.3,14.5,4.7,9.5,0.498,2.4,5.3,0.457,2.6,3.2,0.818,0.5,1.3,1.8,2.1,1.1,0.2,1.3,2.1,2012
Brian Sullivan,DAV,30,37.1,14.3,4.6,11.9,0.384,3.3,8.1,0.41,1.8,2.2,0.831,0.4,3.4,3.7,3.4,1,0.1,1.4,1.7,2016
