Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Year
Joe Charles,LA,.542,.550,126.8,9.7,16.9,13.4,5.4,14.6,3.4,2.3,15.3,-2.3,1.2,110.2,96.1,14.0,171.5,15.5,2023
Adam Hess,NJIT,.609,.587,167.7,1.3,8.0,4.6,6.1,10.5,1.4,0.7,18.8,-1.8,1.3,114.7,111.6,3.1,163.6,15.5,2023
Justin Amadi,JMU,.615,.613,120.6,9.7,13.6,11.6,4.8,16.0,2.3,2.6,12.5,-2.2,1.5,120.9,93.4,27.5,161.5,15.5,2023
Jacobi Wood,MRRY,.567,.506,156.7,1.7,12.6,7.2,23.7,20.4,2.5,0.4,17.1,1.8,1.4,109.2,105.8,3.4,309.9,15.5,2023
Drake Allen,SUU,.565,.543,149.8,2.5,10.3,6.5,21.7,21.0,2.6,1.6,19.7,-0.4,1.3,106.1,99.6,6.5,279.1,15.5,2023
Andrew Platek,SIENA,.582,.579,147.5,1.5,10.3,5.9,11.7,13.3,1.9,0.6,20.1,-1.6,1.3,109.3,102.1,7.1,195.8,15.5,2023
Rasheer Fleming,STJOE,.527,.500,141.4,10.8,18.4,14.6,5.8,16.3,2.2,5.0,16.0,-3.1,1.2,106.3,99.9,6.4,184.8,15.5,2023
Fousseyni Drame,LASAL,.488,.467,130.3,9.0,15.1,12.0,5.7,11.3,2.2,3.4,19.7,-2.5,1.1,102.5,102.6,-0.1,217.6,15.5,2023
Dillon Mitchell,TEXAS,.609,.636,104.1,9.8,17.9,13.9,3.6,13.4,2.0,2.0,11.9,-1.7,1.4,119.5,95.6,23.8,193.1,15.5,2023
Donte Powers,SHSU,.565,.533,158.9,0.8,12.6,6.7,11.4,13.2,1.9,0.5,20.8,-1.4,1.3,112.1,91.5,20.6,209.1,15.4,2023
Matt Balanc,QUIN,.541,.506,159.0,4.3,13.4,8.9,5.4,9.5,1.5,0.5,20.2,-2.0,1.2,111.7,101.8,9.9,226.5,15.4,2023
De'Lazarus Keys,TAMU-CC,.489,.466,150.8,13.6,21.3,17.4,10.3,13.4,1.2,1.8,16.9,-0.8,1.1,109.4,101.5,7.9,211.6,15.4,2023
Jalen Hill,OKLA,.592,.535,160.3,4.8,17.0,11.3,8.2,14.4,1.4,1.8,15.9,-1.5,1.4,113.6,101.0,12.7,271.4,15.4,2023
Patrick Dorsey,USNA,.539,.519,149.4,3.3,12.7,8.0,9.7,7.9,2.8,1.0,16.4,1.1,1.2,114.8,98.7,16.1,174.4,15.4,2023
Berrick JeanLouis,IONA,.535,.520,141.9,5.1,12.7,8.9,11.6,10.9,2.0,3.9,14.7,1.4,1.2,114.8,96.9,17.9,242.9,15.4,2023
Craig Beaudion,UMBC,.580,.553,158.3,1.8,8.4,5.0,21.9,16.8,2.3,1.4,14.1,3.9,1.3,116.9,107.3,9.6,254.3,15.4,2023
Trey Robinson,NKU,.501,.462,147.8,6.9,14.8,10.6,14.2,15.3,2.7,2.0,20.0,-1.1,1.1,104.2,98.7,5.5,186.5,15.4,2023
Jaden Akins,MCHST,.527,.513,154.8,3.8,13.7,9.0,8.7,12.3,2.6,1.5,20.8,-1.9,1.1,101.8,98.9,2.9,200.5,15.4,2023
Daylen Williams,UTRGV,.609,.590,149.8,7.7,19.7,13.9,18.6,23.4,2.0,2.3,11.9,1.2,1.5,116.8,101.0,15.8,300.5,15.4,2023
Ryan Cornish,DART,.525,.479,150.8,2.2,14.1,8.3,18.6,18.3,2.5,0.8,26.0,-3.2,1.2,96.9,100.2,-3.2,178.8,15.4,2023
Marko Maletic,LIU,.557,.541,151.4,1.7,11.0,6.3,8.2,12.3,0.9,0.3,27.8,-4.5,1.2,100.0,110.9,-10.9,147.9,15.4,2023
Kai Huntsberry,UNT,.491,.450,148.8,2.5,10.1,6.4,22.8,13.5,1.7,0.4,25.2,0.6,1.1,105.4,97.9,7.5,237.0,15.4,2023
Shykeim Phillips,UNCW,.464,.386,133.1,2.8,12.8,7.7,16.6,11.6,3.8,0.8,23.1,0.1,1.1,99.6,95.8,3.8,149.9,15.4,2023
Colin Porter,LBRTY,.546,.509,158.1,1.2,11.3,6.3,23.8,18.6,3.2,0.2,17.5,3.3,1.2,110.2,92.4,17.7,261.0,15.4,2023
Jordan Nesbitt,HMPTN,.455,.400,137.5,4.3,18.1,10.8,22.1,15.1,2.1,2.3,28.6,-2.1,1.1,92.5,107.2,-14.7,267.1,15.4,2023
