Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year
Elston Turner,TAMU,32,33.7,13.8,4.7,11.5,0.407,2.2,5.6,0.389,2.3,2.8,0.791,0.3,3.3,3.6,2.3,1,0.2,2.1,1.7,2012
Logan Aronhalt,ALB,30,31.4,13.8,4.6,11.4,0.402,2,5.6,0.355,2.7,3,0.889,1.4,2.9,4.3,1,0.7,0.6,1.9,1.4,2012
Eli Carter,RU,32,29.8,13.8,4.8,11.7,0.409,1.7,4.9,0.353,2.5,3.6,0.696,0.5,2.6,3.1,2.1,1.3,0.1,2.8,2.5,2012
Alec Brown,UWGB,30,31.2,13.8,5.1,11.3,0.456,0.1,0.6,0.211,3.4,4.4,0.771,3.1,5.1,8.2,0.8,0.9,3,2,2.7,2012
Kerron Johnson,BEL,34,28.6,13.8,4.3,8.2,0.518,0.7,2.3,0.308,4.5,5.9,0.766,0.6,2.4,3.1,5.2,1.4,0,2.4,2.4,2012
Pierre Jackson,BU,38,30.8,13.8,4.6,9.9,0.46,1.8,4.4,0.408,2.8,3.4,0.822,0.9,2,2.9,5.9,1.8,0.1,3.5,2.3,2012
Doug Davis,PRIN,32,33,13.8,4.8,11.4,0.425,2.6,6.2,0.419,1.5,1.8,0.825,0.3,1.7,1.9,1.4,1.2,0.3,1.3,1.4,2012
Drew Gordon,UNM,35,30.8,13.7,5.4,9.9,0.542,0.1,0.1,1,2.9,3.9,0.752,3.1,8,11.1,1.2,1.1,1,2.3,2.2,2012
Johnny Dee,USD,31,29.6,13.7,4.6,10.7,0.432,2.5,6,0.422,2,2.3,0.859,0.3,1.5,1.8,1.2,0.7,0,1.5,1.4,2012
Tyler Brown,ISU,34,30.9,13.7,4.5,9.9,0.454,2.3,5.1,0.454,2.4,3.1,0.788,0.8,3,3.8,2.3,1,0.1,2.5,1.8,2012
Doron Lamb,UK,40,31.2,13.7,4.4,9.2,0.474,1.9,4.1,0.466,3.1,3.7,0.826,0.4,2.3,2.7,1.5,0.5,0.1,1.1,1.8,2012
Julian Norfleet,MSMU,29,36.3,13.7,5,12.4,0.402,2.4,6.4,0.373,1.3,1.9,0.696,1.3,2.9,4.2,2.3,1,0.3,2.7,2.2,2012
Khalid Mutakabbir,PC,29,36.4,13.7,5.1,11.6,0.439,1.1,3.8,0.297,2.4,3.2,0.755,0.8,2.3,3.1,2,1.1,0.2,2.2,2.2,2012
Frantz Massenat,DREX,36,35.7,13.7,4.1,9.5,0.429,1.5,3.3,0.45,4.1,5.2,0.781,0.5,2.6,3.1,4.8,0.9,0.4,2.1,2.3,2012
Myles Taylor,UTM,28,24.4,13.7,4.6,9.3,0.49,0.1,0.6,0.188,4.5,6,0.749,2.1,3.1,5.2,0.8,0.7,0.8,1.7,3.1,2012
Marcus Jordan,UCF,31,35.9,13.7,4.2,11.4,0.37,1.7,5.5,0.308,3.6,5,0.716,0.3,2.5,2.7,2.4,0.6,0,1.9,1.2,2012
Adam Terrell,UNCW,31,30.3,13.7,4.8,12.8,0.379,1.9,5.6,0.331,2.2,2.6,0.817,0.4,2.8,3.2,1.6,0.5,0,1.5,1.6,2012
Terence Jones,TAMU-CC,30,30.9,13.7,4.3,11.7,0.366,2.3,6.3,0.36,2.8,3.9,0.726,0.3,2.7,3,1.8,0.7,0.2,2.9,2.2,2012
Erik Etherly,L-MD,33,31.2,13.7,5.1,9.6,0.53,0.1,0.3,0.273,3.4,4.9,0.698,2.5,4.9,7.5,1.9,1.1,1.5,2.4,2,2012
John Henson,UNC,35,29.1,13.7,5.9,11.7,0.5,0,0,0,2,3.9,0.511,2.5,7.4,9.9,1.3,0.6,2.9,1.3,1.6,2012
Larry Anderson,LBSU,31,34.1,13.7,4.3,8.8,0.489,1.5,3.5,0.417,3.6,5.2,0.698,1,3.9,4.9,3,1.8,0.3,2.1,2,2012
Joston Thomas,UH,32,24.3,13.7,5.2,9.8,0.527,0,0.4,0.083,3.3,5,0.65,1.6,3.7,5.3,1.3,0.5,0.4,2.4,2.6,2012
Kevin Pangos,GU,33,31.7,13.6,4.2,9.6,0.431,2.4,6,0.401,2.9,3.5,0.851,0.2,2.5,2.7,3.4,1.2,0.1,1.8,1.7,2012
Scott Machado,IC,33,35.5,13.6,4.7,9.5,0.495,1.2,3,0.404,3,3.7,0.811,0.9,4,4.9,9.9,1.6,0.2,3.3,2.6,2012
Jeremy Robinson,CSU,30,29.7,13.6,5.4,11.8,0.455,0.7,2.4,0.288,2.2,3.3,0.663,2.1,5.4,7.5,1.1,0.9,1.5,3,3.3,2012
Kareem Jamar,UM,32,34.9,13.6,4.6,9.7,0.476,1.5,3.5,0.441,2.9,4.2,0.681,0.8,4.8,5.6,3.7,1.1,0.6,2.2,1.5,2012
A'uston Calhoun,BGSU,32,28.9,13.6,5.5,11.3,0.485,0.2,0.7,0.238,2.4,3.4,0.709,2.3,3.6,5.9,0.7,0.5,0.4,1.8,2.2,2012
Trae Golden,UT,34,32.1,13.6,4.1,9.4,0.439,1.5,3.8,0.388,3.8,4.6,0.828,0.5,2.5,3,4.5,0.8,0.1,2.9,2,2012
Meyers Leonard,U of I,32,31.8,13.6,5.3,9.1,0.584,0,0.3,0.091,2.9,4,0.732,2.3,5.9,8.2,1.3,0.5,1.9,2.1,2.9,2012
Devin Price,MAR,32,33.9,13.6,4.3,11,0.389,1.9,5.3,0.353,3.1,3.9,0.8,0.7,2.2,2.8,2.2,1.1,0,2.1,1.4,2012
