Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Year
Matt Dickey,UNCA,0.625,0.54,168.2,2.9,8.7,5.9,20.3,15.6,2.5,0.2,22.5,0.1,1.6,124,103.2,20.8,363.3,20.9,2012
Kannon Burrage,UTSA,0.565,0.503,161.1,4.6,11.1,7.9,12.4,12.4,2.4,0.2,28.5,-3.2,1.4,111.9,99.3,12.6,221.3,20.8,2012
Brian Stafford,UD,0.659,0.626,177.4,2,5.5,3.8,14.4,10.5,2.2,0.6,21.8,0.4,1.5,125.4,102.3,23.1,268.4,20.8,2012
Tree Treadwell,AKR,0.502,0.497,99.2,16.3,20,18.2,11.7,15.2,1.9,3.7,26,-4.1,1.2,103.9,93,10.9,191.9,20.8,2012
Chris Gradnigo,CCU,0.538,0.508,159.9,6.5,18.6,13,7.7,14.1,1.4,3.3,29.3,-5.8,1.2,106.4,96.5,9.9,252.9,20.8,2012
Ronald Roberts,SJU,0.594,0.597,115,11.4,15.4,13.6,3.3,12.9,1.1,2.7,22.2,-4.5,1.5,114.4,101.3,13,278.5,20.8,2012
Greg Gantt,FAU,0.547,0.526,159.6,5.2,9.1,7.1,7.3,7.7,1.8,0.4,27,-2.1,1.2,112.7,104.2,8.5,190.3,20.8,2012
Henry Sims,GU,0.524,0.462,117,8.6,17.3,13.2,27.3,20.3,1.5,5.6,27.3,-2,1.3,104.6,90,14.7,311,20.8,2012
J.R. Cadot,TCU,0.584,0.541,150.5,11.1,17.3,14,9.3,13.5,2.9,1.7,18.6,-2,1.5,119.4,99.9,19.5,353.5,20.8,2012
Ian Chiles,MSU,0.578,0.564,121.8,7.7,15.2,11.5,10.3,16.5,0.8,8.8,23.1,-5,1.3,106.9,100.9,6,179.8,20.8,2012
Jordan Dykstra,SDSU,0.625,0.612,169.4,6.2,18.2,12.3,10.5,12.1,0.6,1.5,21.9,-1.7,1.4,122,101.7,20.3,257,20.8,2012
Mark Yelovich,SIUE,0.531,0.497,146.2,6.9,18.5,12.8,11,12.9,2,1.6,29.6,-4.6,1.3,103.1,102.3,0.9,230.5,20.8,2012
C.J. Aiken,SJU,0.612,0.591,156.1,3.7,13.9,9.3,7.5,10.9,0.8,10.9,16.9,-1,1.4,120.1,98.5,21.6,394.3,20.8,2012
Langston Galloway,SJU,0.632,0.609,173.9,3.5,10.4,7.2,13,8.9,1.7,1.6,20,0.8,1.4,127.8,103.2,24.6,380.1,20.8,2012
Alandise Harris,U of H,0.57,0.538,162,8.8,15.7,12.4,7.9,14.9,1.4,4.3,23.1,-4.2,1.4,112,102.8,9.1,287.6,20.7,2012
Erick Green,VT,0.542,0.492,164.1,2,9.3,5.6,19.8,9.4,2.5,0.4,24.8,1.3,1.2,115.9,100.5,15.4,287.5,20.7,2012
Jeremy Atkinson,UNCA,0.62,0.576,162.2,8.5,17.4,13.1,14,13.7,2.3,0.6,18.1,0,1.6,126.5,99.7,26.8,375.1,20.7,2012
Michael Kidd-Gilchrist,UK,0.57,0.511,149,10.1,16.3,13.4,10.8,17.3,1.9,2.8,20.6,-3,1.5,115.3,90.7,24.6,423.5,20.7,2012
Perry Jones,BU,0.539,0.514,149.9,11.1,18.7,15.1,8.6,12,1.7,2.1,23.5,-2.8,1.2,113.5,98.7,14.8,340.5,20.7,2012
Brandon Brekke,UND,0.651,0.682,118.2,9.7,22.9,16.4,7.1,20.5,0.9,4,21.6,-6.8,1.6,108.6,94.5,14.2,220.5,20.7,2012
