Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Year
Micah Handlogten,MARSH,0.649,0.666,128.9,14.9,27.5,21.3,7.2,18.3,2.8,9.1,13.4,-2,1.6,125.5,86.8,38.7,420.3,24.1,2023
Jaylen Sebree,TNTCH,0.59,0.563,160.6,6.8,21.7,14.2,16.8,12.4,1.9,1.6,25.2,-1,1.4,116,100.3,15.7,419.9,24.1,2023
B.J. Mack,WOFF,0.596,0.559,163.4,4.9,18.8,11.9,9.3,9.2,1.1,1.7,26.1,-1.6,1.4,120.9,108.5,12.4,342.4,24.1,2023
Kyle Filipowski,DUKE,0.533,0.481,148.8,10.6,25.5,18.3,11.5,15,2.7,2.7,29.7,-5.3,1.3,107.4,90.6,16.8,413.8,24.1,2023
Brandon Miller,UA,0.583,0.533,167.3,7,18.6,13.1,12.7,12,1.5,2.4,26.3,-2.4,1.3,119.7,90.5,29.1,509.5,24.1,2023
Dwayne Cohill,YSU,0.62,0.569,180.1,2,10.6,6.5,25.6,15.9,2.3,0.9,25.4,1.4,1.5,121.3,103.3,18,425.4,24.1,2023
Kevin Samuel,USA,0.602,0.652,92,11.2,26,18.9,3.5,14.4,1.9,8.4,18.4,-3.7,1.4,113.6,88.8,24.8,432.5,24,2023
Patrick Cartier,COLST,0.686,0.677,178.9,5.5,12.2,9.1,11.7,14,1.5,0.5,26.2,-3.3,1.6,120.2,108.6,11.7,234.9,24,2023
Wade Taylor IV,TAMU,0.575,0.494,163,1.7,9.7,5.8,31.2,15.6,3.6,0.3,29.7,-0.1,1.4,117.3,98.3,19,330.6,24,2023
Caleb Huffman,NICH,0.591,0.595,143,6,15.6,10.5,10.9,12,3.9,0.9,26,-2.9,1.3,113.2,97.1,16.1,336.5,24,2023
Julian Reese,UMD,0.617,0.632,116.5,12.5,21.9,17.2,8.4,17.1,1.8,5,22.3,-4.9,1.6,114.9,94.7,20.2,337.4,23.9,2023
Alonzo Sule,JMU,0.566,0.525,146.7,15.8,16.5,16.1,7,10.7,1.3,5.3,21.7,-2.2,1.4,122.9,91.5,31.4,168.1,23.9,2023
"D.J. Burns, Jr.",NCST,0.57,0.561,117.7,9,15.9,12.3,13.8,14.9,1.8,4,27.9,-3.9,1.3,109.7,100.5,9.2,271,23.9,2023
Jalen Moore,OAKL,0.571,0.477,153.4,1.8,11.1,6.4,30.6,16.6,3.5,0.3,28.3,0.8,1.5,112.2,110.1,2.1,385.1,23.8,2023
Aly Khalifa,CHAR,0.6,0.588,163.6,8.9,21.7,15.6,21.3,14.2,1.5,2.8,23.7,0.8,1.3,117.5,98,19.5,371.1,23.8,2023
"Joe Bryant, Jr.",NORF,0.569,0.508,163.7,2.1,14.5,8.7,19.4,12.3,3.3,1.1,28,-0.5,1.4,117.7,97.7,20,356.9,23.8,2023
Ajay Mitchell,UCSB,0.594,0.532,158.7,1.3,9.3,5.4,30.6,14,2.3,0.9,25.7,3.6,1.5,119.4,101.2,18.2,403.4,23.8,2023
Dalton Knecht,NOCOL,0.586,0.557,163.1,2.6,22.2,12.6,11.4,10.8,1.3,1.6,28.2,-2.6,1.3,112.7,108.6,4.1,416.4,23.8,2023
Jordan Walker,UAB,0.564,0.521,162.6,1.2,8,4.7,25.1,12.3,2,0,32.1,0,1.3,116.6,101.8,14.8,371.1,23.7,2023
Ben Krikke,VAL,0.608,0.571,162.7,6.9,13.5,10.3,14.3,12.2,0.9,2.7,26.8,-2.3,1.4,115.9,106.6,9.2,396.9,23.7,2023
Ja'Shon Henry,BRDLY,0.576,0.576,112.2,12.1,14.6,13.3,7.4,11.4,2.5,1.8,24.5,-3,1.5,116.3,96.4,19.9,195.9,23.7,2023
Payton Sparks,BLLST,0.58,0.592,151.3,13.5,22.4,18.1,13.1,14.9,0.9,3.3,23.3,-2.5,1.6,116.9,102.2,14.7,369.6,23.7,2023
Blake Preston,LBRTY,0.619,0.66,105.7,13.6,25,19.3,16,16.4,1.5,3.2,20.2,-0.9,1.5,120.1,91,29,258.8,23.7,2023
Dillon Jones,WEBER,0.58,0.511,157.8,3.1,37.2,20.4,23.9,19.3,2.7,0.2,27.5,-2.7,1.4,106.2,93.9,12.3,484.1,23.7,2023
E.J. Harkless,UNLV,0.535,0.471,147.9,3.2,17.4,10,25.2,13.4,2.9,0.7,33.4,-1.6,1.3,107.8,97.8,10,338.1,23.6,2023
Keylan Boone,PACI,0.607,0.582,170,6,16.7,11.3,8.4,8.8,1.5,1.9,27.9,-2.4,1.3,116.8,108,8.7,211.4,23.6,2023
Essam Mostafa,CCU,0.577,0.552,121.8,14.3,25.9,20.2,6.3,12.8,1.2,2.9,21.2,-3.4,1.4,118.1,102.5,15.6,314.6,23.6,2023
Ibrahima Diallo,SJSU,0.58,0.587,110.9,15.7,27.2,21.4,5.6,18.4,1.2,10.7,19.7,-5.4,1.4,110.6,94.1,16.5,250.6,23.6,2023
Messiah Jones,WOFF,0.606,0.572,128.5,14.4,17.8,16.1,10.7,15.5,2.4,2.3,22.6,-3.1,1.5,120.3,104.5,15.8,258.3,23.6,2023
Jordan Miller,UMFL,0.616,0.585,168.1,7.4,14.5,11.1,14.1,9.6,2,1.3,19.9,1.3,1.4,130,104.8,25.2,489.1,23.5,2023
Demond Robinson,KENN,0.563,0.543,122.2,11.7,19.3,15.5,7.7,10.3,1.9,4.5,24,-2.4,1.4,115.1,95.5,19.6,310.4,23.5,2023
Mike Bothwell,FRMN,0.632,0.579,168.2,4.7,7.7,6.2,16.2,10.2,1.6,0.4,23.6,0.9,1.6,129,105.7,23.3,408.1,23.5,2023
Nelson Phillips,TROY,0.526,0.495,145.4,10.3,17.9,14,16.2,13.6,4.7,2.3,24.8,-1.5,1.2,108.8,89.7,19.1,335.4,23.5,2023
